HARGA,Luas Bangunan,Luas Tanah,Kamar Tidur,Kamar Mandi,Garasi
1700000000,154,204,5,2,0
10500000000,350,247,5,5,3
1899000000,150,135,4,2,1
1500000000,90,121,3,2,0
9000000000,399,384,3,3,1
3500000000,180,100,5,4,1
7800000000,160,261,3,4,2
8000000000,200,202,5,3,3
8000000000,450,306,5,4,1
2900000000,90,135,2,1,1
2950000000,125,135,2,1,0
2600000000,80,130,2,1,0
2500000000,105,54,3,2,1
2500000000,100,130,3,2,0
2600000000,180,95,4,2,1
2700000000,120,142,3,2,1
5000000000,100,220,2,1,0
5900000000,340,134,5,4,3
3000000000,250,150,3,3,2
3500000000,160,118,4,4,2
3200000000,128,138,3,2,1
5300000000,200,145,3,3,2
6500000000,220,150,3,3,1
6000000000,300,284,7,3,3
3500000000,200,135,3,3,2
2780000000,192,120,5,4,2
4900000000,215,135,9,8,0
3800000000,160,165,4,3,1
4500000000,175,125,3,3,2
6500000000,350,230,4,4,2
5500000000,300,140,3,3,2
3900000000,150,250,4,2,2
9200000000,450,700,8,4,4
2200000000,150,82,5,2,2
2100000000,100,126,2,2,1
2450000000,150,135,5,2,0
2150000000,120,135,3,2,1
2300000000,130,150,4,1,0
2000000000,120,94,2,2,0
2250000000,130,150,2,1,0
2000000000,100,111,2,2,1
22000000000,350,448,6,7,2
9000000000,470,353,9,6,0
6200000000,260,138,6,5,0
2400000000,120,149,3,2,0
15000000000,237,387,5,4,3
22000000000,300,520,4,4,2
2200000000,120,100,3,2,1
5000000000,320,150,9,5,0
2700000000,135,87,3,2,2
4595000000,170,136,5,4,2
1300000000,100,75,3,2,0
12000000000,500,590,10,10,0
21000000000,300,500,4,3,4
3500000000,170,100,5,3,3
3900000000,179,142,5,4,2
25000000000,700,619,5,4,10
1250000000,480,312,4,2,1
3900000000,230,130,3,4,3
3000000000,150,160,5,2,0
12000000000,240,303,6,6,4
5000000000,275,210,6,5,3
2300000000,150,132,4,3,1
9800000000,162,342,5,3,2
6800000000,500,428,5,4,4
11000000000,600,391,7,5,4
11500000000,350,400,9,7,6
3600000000,130,163,3,2,2
22500000000,700,610,6,4,1
9500000000,340,240,7,4,2
13000000000,225,322,4,3,2
10000000000,300,264,5,4,0
5500000000,117,205,5,4,0
3500000000,90,110,3,3,1
3500000000,250,91,4,2,2
3800000000,154,113,4,4,3
2800000000,250,90,3,3,1
13750000000,600,429,6,4,1
6200000000,220,150,4,4,2
4600000000,200,147,4,3,1
12000000000,322,322,4,3,2
2500000000,94,78,2,2,2
2500000000,160,135,3,2,2
9200000000,450,700,8,4,2
6500000000,217,217,3,2,2
12000000000,450,700,8,4,0
35000000000,599,469,4,3,0
4200000000,120,143,6,3,2
5500000000,200,221,5,2,2
3500000000,190,100,6,4,2
900000000,100,56,3,2,0
3500000000,350,100,4,4,2
7500000000,150,288,5,3,1
3500000000,235,140,5,4,2
14000000000,200,475,5,3,0
3500000000,210,170,6,2,2
4950000000,225,110,5,4,2
2600000000,210,91,5,3,1
4200000000,200,165,4,2,0
4200000000,150,100,4,4,0
1300000000,332,125,7,7,0
8500000000,550,440,8,5,5
8750000000,180,137,4,4,2
3900000000,200,130,3,3,1
6100000000,390,130,7,6,3
2500000000,150,90,3,2,1
30900000000,1000,670,8,6,4
55000000000,400,1075,4,3,4
3500000000,225,360,4,2,1
3500000000,200,145,8,8,3
4500000000,150,200,3,2,2
55000000000,1126,1224,4,4,2
22000000000,300,520,4,4,3
3200000000,150,86,5,4,2
6500000000,300,173,4,4,2
1900000000,130,135,5,2,1
5990000000,350,220,5,5,2
5500000000,300,173,4,4,2
16500000000,800,361,7,5,6
23000000000,700,619,5,5,10
4499999744,250,140,5,4,2
3500000000,150,135,3,3,2
6000000000,220,150,4,4,2
3600000000,154,110,3,3,2
4300000000,180,135,4,4,2
7900000000,380,225,5,4,2
27000000512,350,1069,4,4,5
5000000000,320,150,5,5,3
3000000000,110,132,3,2,0
4900000000,280,170,5,4,3
3700000000,130,130,3,3,2
2900000000,160,160,3,3,1
3700000000,175,89,3,3,2
3600000000,100,180,4,2,1
2333333000,80,90,2,2,1
25000000000,890,271,5,6,3
6500000000,275,150,4,5,1
6500000000,270,140,3,3,4
